FileName,voxel,mm,NCC,NGC,caseName
Par0003.bs-R2-fg.txt,13.57,10.334,0.69602,0.017424,copd1
Par0003.bs-R2-fg.txt,7.1643,7.7057,0.61738,0.0060403,copd2
Par0003.bs-R2-fg.txt,1.7123,1.4818,0.80717,0.058503,copd3
Par0003.bs-R2-fg.txt,5.1878,4.0779,0.61736,0.019427,copd4
Par0003.bs-R2-ug.txt,9.765,7.6811,0.6977,0.018622,copd1
Par0003.bs-R2-ug.txt,4.5955,5.3538,0.61835,0.0055786,copd2
Par0003.bs-R2-ug.txt,1.3612,1.2486,0.80844,0.069063,copd3
Par0003.bs-R2-ug.txt,3.0502,2.3364,0.61489,0.012301,copd4
Par0003.bs-R3-fg.txt,12.614,9.6945,0.69446,0.017332,copd1
Par0003.bs-R3-fg.txt,6.0635,6.6919,0.61652,0.0059415,copd2
Par0003.bs-R3-fg.txt,1.6066,1.4281,0.80733,0.05882,copd3
Par0003.bs-R3-fg.txt,4.5518,3.4866,0.61674,0.020175,copd4
Par0003.bs-R3-ug.txt,2.2817,1.8153,0.72177,0.033971,copd1
Par0003.bs-R3-ug.txt,3.515,3.5221,0.64886,0.010878,copd2
Par0003.bs-R3-ug.txt,1.3451,1.2758,0.81347,0.093461,copd3
Par0003.bs-R3-ug.txt,2.3644,1.9096,0.61722,0.014648,copd4
Par0003.bs-R4-fg.txt,12.015,9.158,0.69358,0.017344,copd1
Par0003.bs-R4-fg.txt,6.3715,6.6907,0.61656,0.0061986,copd2
Par0003.bs-R4-fg.txt,1.6762,1.4949,0.80747,0.058917,copd3
Par0003.bs-R4-fg.txt,5.0502,3.8374,0.6175,0.020325,copd4
Par0003.bs-R4-ug.txt,1.605,1.3647,0.74492,0.035785,copd1
Par0003.bs-R4-ug.txt,2.9196,2.9488,0.70999,0.020481,copd2
Par0003.bs-R4-ug.txt,1.3711,1.3392,0.78691,0.055318,copd3
Par0003.bs-R4-ug.txt,1.9113,1.6734,0.62676,0.013888,copd4
Par0003.bs-R5-fg.txt,12.04,9.0695,0.69403,0.017672,copd1
Par0003.bs-R5-fg.txt,7.7836,7.957,0.61734,0.0060953,copd2
Par0003.bs-R5-fg.txt,1.781,1.5693,0.80754,0.058981,copd3
Par0003.bs-R5-fg.txt,6.8218,5.0213,0.61902,0.020214,copd4
Par0003.bs-R5-ug.txt,1.5209,1.3577,0.73534,0.023128,copd1
Par0003.bs-R5-ug.txt,2.9371,3.0367,0.72904,0.025853,copd2
Par0003.bs-R5-ug.txt,1.3449,1.3067,0.71046,0.022105,copd3
Par0003.bs-R5-ug.txt,1.9033,1.6692,0.64142,0.011495,copd4
Par0003.bs-R6-fg.txt,12.225,9.3247,0.69449,0.017456,copd1
Par0003.bs-R6-fg.txt,10.282,10.068,0.61797,0.0061383,copd2
Par0003.bs-R6-fg.txt,2.0265,1.7561,0.80758,0.058935,copd3
Par0003.bs-R6-fg.txt,10.825,7.9376,0.62126,0.020014,copd4
Par0003.bs-R6-ug.txt,1.6288,1.4015,0.72738,0.017253,copd1
Par0003.bs-R6-ug.txt,2.9721,3.0794,0.72803,0.02389,copd2
Par0003.bs-R6-ug.txt,1.3299,1.2884,0.71031,0.023111,copd3
Par0003.bs-R6-ug.txt,1.8842,1.6289,0.6324,0.01033,copd4
Par0003.bs-R7-fg.txt,12.528,9.6683,0.69479,0.017394,copd1
Par0003.bs-R7-fg.txt,10.38,10.179,0.61798,0.0061164,copd2
Par0003.bs-R7-fg.txt,2.2626,1.9158,0.8074,0.058989,copd3
Par0003.bs-R7-fg.txt,12.605,9.1109,0.62161,0.020152,copd4
Par0003.bs-R7-ug.txt,1.5318,1.3331,0.72531,0.016261,copd1
Par0003.bs-R7-ug.txt,2.9461,3.0229,0.72869,0.022968,copd2
Par0003.bs-R7-ug.txt,1.3413,1.2905,0.71149,0.024744,copd3
Par0003.bs-R7-ug.txt,1.8713,1.6273,0.62828,0.0096516,copd4

